# 81,cat81|Гаечные ключи рожковые
 1|Ключи рожковые двусторонние, матовый хром   |81||-|-|-||norow|| РемоКолор professional|</span><span class="for">Для работы с резьбовым шестигранным крепежом соответствующего размера </span></p><UL><LI>Изготовлены из хромванадиевой стали <b>(CrV)</b>.<LI>Твердость рабочей части <b>44 - 48 HRС</b>.<LI>Матовая полировка.</UL><p><span class="addt">||/img/pic/keys/small/43-3-420.jpg|/img/pic/keys/big/43-3-420.jpg
 0|Ключ рожковый, матовый хром &numsp;8 х 10 мм|81|43-3-008| 89,00| 82,00|-
 0|Ключ рожковый, матовый хром       10 х 11 мм|81|43-3-010| 89,00| 82,00|-
 0|Ключ рожковый, матовый хром       10 х 12 мм|81|43-3-411|159,00|152,00|-
 0|Ключ рожковый, матовый хром       12 х 13 мм|81|43-3-012|109,00|100,00|-
 0|Ключ рожковый, матовый хром       14 х 15 мм|81|43-3-014|128,00|100,00|-
 0|Ключ рожковый, матовый хром       16 х 17 мм|81|43-3-016|148,00|140,00|-
 0|Ключ рожковый, матовый хром       17 х 19 мм|81|43-3-417|209,00|198,00|-
 0|Ключ рожковый, матовый хром       19 х 22 мм|81|43-3-019|288,00|270,00|-
 0|Ключ рожковый, матовый хром       22 х 24 мм|81|43-3-420|335,00|315,00|-
 1|Ключи рожковые двусторонние, CrV   |81||-|-|-||norow||<abbr title="Фосфатирование - создание химическим путём на поверхности металлических изделий плёнки нерастворимых фосфатов, предохраняющей металл от атмосферной коррозии.">фосфатированная</abbr> поверхность, РемоКолор professional|</span><span class="for">Для работы с резьбовым шестигранным крепежом соответствующего размера </span></p><UL><LI>Изготовлены из хромванадиевой стали <b>(CrV)</b>.<LI>Твердость рабочей части <b>42 - 47 HRС</b>.</UL><p><span class="addt">||/img/pic/keys/small/kr14333.jpg|/img/pic/keys/big/kr14333.jpg
 0|Ключ рожковый, желтый цинк, угл.ст. 24 х 27 мм|81|14314 |325,00|310,00|-||blue
 0|Ключ рожковый, фосфатированная CrV  27 х 30 мм|81|14331 |540,00|515,00|-|
 0|Ключ рожковый, фосфатированная CrV  30 х 32 мм|81|14332 |595,00|570,00|-|
 0|Ключ рожковый, фосфатированная CrV  32 х 36 мм|81|14333 |870,00|845,00|-|
#1|Ключ рожковый &nbsp;&nbsp;8х10 мм  |81|KRK-0810   |-|-|-||norow|Ключи рожковые двусторонние| оцинкованные <abbr title="Хроматирование — химическое пассивирование электролитически оцинкованных деталей, заключающееся в кратковременном погружении их в раствор сильных окислителей, обычно — на основе солей хрома, откуда и название, с последующей промывкой водой. Вызывает образование плотной, прочной плёнки оксидов цинка на поверхности оцинкованной детали, что существенно улучшает стойкость её к коррозии. После хроматирования оцинкованная деталь приобретает светло-желтый цвет.">хроматированные</abbr> /<span class="blue"> никелированные,</span> пр-во Камышинский завод слесарно-монтажного инструмента|||/img/pic/keys/small/KLUCH Rozschkovy.jpg|/img/pic/keys/big/KLUCH Rozschkovy.jpg
#1|Ключ рожковый &numsp;8 х 10 мм     |81|KRK-0810   |-|-|-||norow|Ключи рожковые двусторонние оцинкованные <abbr title="Хроматирование — химическое пассивирование электролитически оцинкованных деталей, заключающееся в кратковременном погружении их в раствор сильных окислителей, обычно — на основе солей хрома, откуда и название, с последующей промывкой водой. Вызывает образование плотной, прочной плёнки оксидов цинка на поверхности оцинкованной детали, что существенно улучшает стойкость её к коррозии. После хроматирования оцинкованная деталь приобретает светло-желтый цвет.">хроматированные</abbr>|, пр-во Камышинский завод слесарно-монтажного инструмента|||/img/pic/keys/small/KLUCH Rozschkovy.jpg|/img/pic/keys/big/KLUCH Rozschkovy.jpg
#0|Ключ рожковый &numsp;8 х 10 мм     |81|KRK-0810   |-|-|-|
#0|Ключ рожковый &numsp;9 х 11 мм     |81|KRK-0911   |-|-|-|
#0|Ключ рожковый 10 х 11 мм           |81|KRK-1011   |-|-|-|
#0|Ключ рожковый 10 х 12 мм           |81|KRK-1012   |-|-|-|
#0|Ключ рожковый 11 х 13 мм           |81|KRK-1113   |-|-|-|
#0|Ключ рожковый 12 х 13 мм           |81|KRK-1213   |-|-|-|
#0|Ключ рожковый 12 х 14 мм           |81|KRK-1214   |-|-|-|
#0|Ключ рожковый 13 х 14 мм           |81|KRK-1314   |-|-|-|
#0|Ключ рожковый 13 х 15 мм           |81|KRK-1315   |-|-|-|
#0|Ключ рожковый 13 х 17 мм           |81|KRK-1317   |-|-|-|
#0|Ключ рожковый 14 х 15 мм           |81|KRK-1415   |-|-|-|
#0|Ключ рожковый 14 х 17 мм           |81|KRK-1417   |-|-|-|
#0|Ключ рожковый 17 х 19 мм           |81|KRK-1719   |-|-|-|
#0|Ключ рожковый 19 х 22 мм           |81|KRK-1922   |-|-|-|
#0|Ключ рожковый 22 х 24 мм           |81|KRK-2224   |-|-|-|
#0|Ключ рожковый 24 х 27 мм           |81|KRK-2427   |-|-|-|
#0|Ключ рожковый 27 х 30 мм           |81|KRK-2730   |-|-|-|
#0|Ключ рожковый 27 х 32 мм           |81|KRK-2732   |-|-|-|
#0|Ключ рожковый 30 х 32 мм           |81|KRK-3032   |-|-|-|
#0|Ключ рожковый 32 х 36 мм           |81|KRK-3236   |-|-|-|
#0|Ключ рожковый 36 х 41 мм           |81|KRK-3641   |-|-|-|
#0|Ключ рожковый 41 х 46 мм           |81|KRK-4146   |-|-|-|
#0|Ключ рожковый 46 х 50 мм           |81|KRK-4650   |-|-|-|
#0|Ключ рожковый 50 х 55 мм           |81|KRK-5055   |-|-|-|
#1|Ключ рожковый односторонний 65 мм  |81|KRK-55     |-|-|-||norow|Ключи рожковые односторонние| оцинкованные, пр-во Камышинский завод слесарно-монтажного инструмента|</span></p><UL><LI>Группа прочности ключа: по ГОСТ 2841-80.<LI>Сталь 45 ГОСТ 1050-88, HRC не менее 37,5.<LI>Покрытие цинковое ц15.хр. по ГОСТ 9.306-85, 9.303.</UL><p><span class="addt">||/img/pic/keys/small/krk1.jpg|/img/pic/keys/big/krk1.jpg
#0|Ключ рожковый односторонний 55 мм  |81|KRK-55     |-|-|-|
#0|Ключ рожковый односторонний 65 мм  |81|KRK65      |-|-|-|
#0|Ключ рожковый односторонний 70 мм  |81|KRK70      |-|-|-|
#0|Ключ рожковый односторонний 75 мм  |81|KRK75      |-|-|-|
#1|Ключ рожковый &nbsp;&nbsp;8х10 мм|81||45,00||Ключи рожковые| оцинкованные|||/img/pic/keys/small/KLUCH Rozschkovy.jpg|/img/pic/keys/big/KLUCH Rozschkovy.jpg
#0|Ключ рожковый 22х27 мм           |81|KRK-2227| 233,26| 169,00| 162,00|

# 80,cat80|Гаечные ключи комбинированные
 1|Ключи комбинированные, матовый хром, CrV 44-48Hrc  |80||-|-|-||norow|| РемоКолор professional|</span><span class="for">Для работы с резьбовым шестигранным крепежом соответствующего размера </span></p><UL><LI>Изготовлены из хромванадиевой стали <b>(CrV)</b>.<LI>Твердость рабочей части <b>44 - 48 HRС</b>.<LI>Матовая полировка.</UL><p><span class="addt">||/img/pic/keys/small/43-3-124.jpg|/img/pic/keys/big/43-3-124.jpg
 0|Ключ комбинированный, матовый хром &numsp;8 х  8 мм|80|43-3-108| 78,00| 72,00|-
 0|Ключ комбинированный, матовый хром &numsp;9 х  9 мм|80|43-3-109| 79,00| 73,00|-
 0|Ключ комбинированный, матовый хром       10 х 10 мм|80|43-3-110| 86,00| 79,00|-
 0|Ключ комбинированный, матовый хром       11 х 11 мм|80|43-3-111| 92,00| 88,00|-
 0|Ключ комбинированный, матовый хром       12 х 12 мм|80|43-3-112| 99,00| 94,00|-
 0|Ключ комбинированный, матовый хром       13 х 13 мм|80|43-3-113|109,00|100,00|-
 0|Ключ комбинированный, матовый хром       14 х 14 мм|80|43-3-114|128,00|122,00|-
 0|Ключ комбинированный, матовый хром       17 х 17 мм|80|43-3-117|179,00|172,00|-
 0|Ключ комбинированный, матовый хром       19 х 19 мм|80|43-3-119|209,00|198,00|-
 0|Ключ комбинированный, матовый хром       20 х 20 мм|80|43-3-120|260,00|249,00|-
 0|Ключ комбинированный, матовый хром       22 х 22 мм|80|43-3-122|289,00|274,00|-
 0|Ключ комбинированный, матовый хром       24 х 24 мм|80|43-3-124|370,00|355,00|-
 1|Ключи комбинированные, хром зеркальный, CrV, 45 Hrc|80||-|-|-||norow|| MATRIX|</span><span class="for">Для работы с резьбовым шестигранным крепежом соответствующего размера </span></p><UL><LI>Изготовлены из хромванадиевой стали <b>(CrV)</b>.<LI>Твердость рабочей части <b>45 HRС</b>.<LI>Полированное хромоникелевое покрытие.</UL><p><span class="addt">||/img/pic/keys/small/kk15175.jpg|/img/pic/keys/big/kk15175.jpg
 0|Ключ комбинированный, хром зеркальный    27 х 27 мм|80|15172 | 509,00| 480,00|-
 0|Ключ комбинированный, хром зеркальный    30 х 30 мм|80|15174 | 625,00| 595,00|-
 0|Ключ комбинированный, хром зеркальный    32 х 32 мм|80|15167 | 745,00| 720,00|-
 0|Ключ комбинированный, хром зеркальный    36 х 36 мм|80|15175 |1545,00|1490,00|-

#1|Ключи комбинированные                      |80|KKK-0606 |-|-|-||norow|| оцинкованные <abbr title="Хроматирование — химическое пассивирование электролитически оцинкованных деталей, заключающееся в кратковременном погружении их в раствор сильных окислителей, обычно — на основе солей хрома, откуда и название, с последующей промывкой водой. Вызывает образование плотной, прочной плёнки оксидов цинка на поверхности оцинкованной детали, что существенно улучшает стойкость её к коррозии. После хроматирования оцинкованная деталь приобретает светло-желтый цвет.">хроматированные</abbr> /<span class="blue"> <abbr title="Фосфатирование - создание химическим путём на поверхности металлических изделий плёнки нерастворимых фосфатов, предохраняющей металл от атмосферной коррозии.">фосфатированные</abbr>,</span> пр-во Камышинский завод слесарно-монтажного инструмента|||/img/pic/keys/small/KLUCH kombinirovanny.jpg|/img/pic/keys/big/KLUCH kombinirovanny.jpg
#0|Ключ комбинированный &#8199;6 x &#8199;6 мм|80|KKK-0606 |-|-|-|
#0|Ключ комбинированный &#8199;8 x &#8199;8 мм|80|KKK-0808 |-|-|-|
#0|Ключ комбинированный 10 x 10 мм            |80|KKK-1010 |-|-|-|
#0|Ключ комбинированный 12 x 12 мм            |80|KKK-1212 |-|-|-|
#0|Ключ комбинированный 13 x 13 мм            |80|KKK-1313 |-|-|-|
#0|Ключ комбинированный 14 x 14 мм            |80|KKK-1414 |-|-|-|
#0|Ключ комбинированный 15 x 15 мм            |80|KKK-1515 |-|-|-|
#0|Ключ комбинированный 17 x 17 мм            |80|KKK-1717 |-|-|-|
#0|Ключ комбинированный 19 x 19 мм            |80|KKK-1919 |-|-|-|
