1|Сверла по металлу|299|| 299|289 |289 |norow|Сверла по металлу фрезерованные| RennBohr METAL P6AM5|<UL><LI>Сверло по металлу полностью шлифованное с цилиндрическим хвостовиком DIN 338 / ГОСТ 10902-77, тип N.<LI>Класс точности A1.<LI>Высокопрочная быстрорежущая сталь P6AM5 с максимально выведенными вредными примесями серы и кремния. Улучшенные режущие свойства при длительном нагреве от трения при сверлении. Твердость 63—66 HRC.<LI>Канавка изготовлена методом врезного фрезерования, что сохраняет структуру стали заготовки и дает сверлу большую прочность на излом.<LI>Заточка Split Point, обеспечивающая легкую и точную засверловку без накернивания, в сочетании с углом заточки сверла 135° оптимальны для работ по сталям высокой точности.<LI>Спираль с углом наклона 25—30°.</UL>||/img/pic/drill/small/smr.jpg|/img/pic/drill/big/jpg
0|Сверло по металлу &nbsp; 4.2 x &nbsp; 75 мм RennBohr|299|650042| 30,45| 28,08| 26,52
0|Сверло по металлу &nbsp; 4.5 x &nbsp; 80 мм RennBohr|299|650045| 32,55| 30,16| 28,56
0|Сверло по металлу &nbsp; 4.8 x &nbsp; 86 мм RennBohr|299|650048| 37,80| 34,32| 30,60
0|Сверло по металлу &nbsp; 5.0 x &nbsp; 86 мм RennBohr|299|650050| 38,85| 35,36| 32,64
0|Сверло по металлу &nbsp; 6.0 x &nbsp; 93 мм RennBohr|299|650060| 48,30| 43,68| 40,80
0|Сверло по металлу &nbsp; 7.0 x       109 мм RennBohr|299|650070| 68,25| 61,36| 58,14
0|Сверло по металлу &nbsp; 8.0 x       117 мм RennBohr|299|650080| 92,40| 85,28| 81,60
0|Сверло по металлу &nbsp; 9.0 x       125 мм RennBohr|299|650090|124,95|112,32|102,00
0|Сверло по металлу       10.0 x       133 мм RennBohr|299|650100|145,95|138,32|130,56
0|Сверло по металлу       12.0 x       151 мм RennBohr|299|650120|197,40|185,12|180,54
