# 105,cat105 -># 397,cat397|Тачки строительные
 1|Тачки строительные ПРОФИ          одноколесные|105|TS-1KL      |2195.00|2145.00|2075.00|397|norow||, 200 кг, 110 л|||/img/pic/equip/small/tachka stroitel.jpg|/img/pic/equip/big/tachka stroitel.jpg
 0|Тачка ПРОФИ строительная, колесо ЛИТОЕ        |105|113.PU      |2900,80|2849,28|2824,64|397
 0|Тачка ПРОФИ строительная, колесо ПНЕВМО       |105|113.ZP      |2573,76|2506,56|2477,44|397
 1|Тачка строительная двухколесная 240 кг, 110 л |105|66-9-200    |2795.00|2755.00|2698.00|397|norow|| <span class="art">арт. 66-9-200</span>|</span></p><UL><LI>Объем: <b>110 л</b>.<LI>Колесо: <b>325/80/24 мм</b> (арт. <b>66-8-013</b>).<LI>Грузоподъемность: <b>240 кг</b>.</UL><p><span class="addt">||/img/pic/equip/small/66-9-200.jpg|/img/pic/equip/big/66-9-200.jpg
 0|Тачка строительная двухколесная 240 кг, 110 л |105|66-9-200    |3357,76|3298,40|3272,64|397
 1|Тачка строительная двухколесная 200 кг, 110 л |105|66-9-220    |2998.00|2925.00|2910.00|397|norow|| низкопольная <span class="art">арт. 66-9-220</span>|</span></p><UL><LI>Объем: <b> 110 л</b>.<LI>Грузоподъемность: <b>200 кг</b>.<LI>Колесо: <b>3.25-8</b>, подшипник <b>25 мм</b> (арт. <b>66-8-013</b>).<LI>Толщина кузова: <b>0,8 мм</b>.</UL><p><span class="addt">||/img/pic/equip/small/66-9-220.jpg|/img/pic/equip/big/66-9-220.jpg
 0|Тачка двухколесная низкопольная 200 кг, 110 л |105|66-9-220    |3581,76|3521,28|3496,64|397
 1|Колесо к тачке литое пенополиуретановое       |105|66-8-013    | 838.00| 825.00| 805.00|397|norow|| &empty; 360 мм, подшипник 25 мм <span class="art">арт. 66-8-013</span>|</span><span class="for">Для двухколёсных тачек (с артикулами <b>66-9-200</b> и <b>66-9-220</b>)||/img/pic/equip/small/66-8-013.jpg|/img/pic/equip/big/66-8-013.jpg
 0|Колесо литое &empty; 380 мм, подшипник 16 мм  |105|66-8-013    |1061,76|1032,64|1021,44|397
 1|Колесо к тачке литое пенополиуретановое       |105|66-8-014    |1098.00|1068.00|1055.00|397|norow|| &empty; 380 мм, подшипник 16 мм <span class="art">арт. 66-8-014</span>|</span><span class="for">Для одноколёсных тачек (с артикулами <b>113.PU</b> и <b>113.ZP</b>)||/img/pic/equip/small/66-8-014.jpg|/img/pic/equip/big/66-8-014.jpg
 0|Колесо литое &empty; 360 мм, подшипник 25 мм  |105|66-8-014    |1293,60|1196,16|1181,60|397
#1|Тачка строительная одноколесная 180 кг, 110 л |105|BO.T1       |2295.00|2265.00|2245.00|397|norow|| <span class="art">арт. BO.T1</span>|</span></p><UL><LI>Рама изготовлена из трубы диаметром <b>32 мм</b> и толщиной <b>1,3 мм</b>.<LI>Объем корыта: <b>110 л</b>.<LI>Толщина стенок корыта: <b>0,8 - 0,9 мм</b>.<LI>Грузоподъемность: <b>180 кг</b>.<LI>Высококачественное колесо: <b>пневмо 4,0-8</b>, подшипник <b>16 мм</b>.</UL><p><span class="addt">||/img/pic/equip/small/tach_b1.jpg|/img/pic/equip/big/tach_b1.jpg
#0|Тачка строительная одноколесная 180 кг, 110 л |105|BO.T1       |2295.00|2265.00|2245.00|397
#0|Колесо ПНЕВМО 4.0-8, подшипник 16мм к тачке BO|105|BO.T1.K     | 620.00| 605.00| 595.00|397
#0|Тачка ПРОФИ строительная, колесо ЛИТОЕ УСИЛЕННОЕ|105|TS-1UL    |2395.00|2345.00|2298.00|397
#1|Тачка строительная одноколесная 200 кг,  90 л |105|66-9-180    |2498.00|2465.00|2415.00|397|norow|| <span class="art">арт. 66-9-180</span>|</span></p><UL><LI>Объем: <b> 90 л</b>.<LI>Колесо: <b>400/80/16 мм</b>.<LI>Грузоподъемность: <b>200 кг</b>.</UL><p><span class="addt">||/img/pic/equip/small/66-9-180.jpg|/img/pic/equip/big/66-9-180.jpg
#1|Тачка строительная одноколесная 200 кг,  90 л |105|66-9-180.NEW|3198.00|3158.00|3125.00|397|norow|| <span class="art">арт. 66-9-180.NEW</span>|</span><strong>Идет в комплекте с двумя колесами — литым и пневмо</strong></p><UL><LI>Объем: <b> 90 л</b>.<LI>Грузоподъемность: <b>200 кг</b>.<LI>Колеса: <b>4.00-8</b>, подшипник <b>16 мм</b> (арт. <b>66-8-014</b>).<LI>Толщина кузова: <b>0,8 мм</b>.</UL><p><span class="addt">||/img/pic/equip/small/66-9-180n.jpg|/img/pic/equip/big/66-9-180n.jpg
